99,89,86,76,12,78,53,31,47,26,62,45,39,24,0,20,35,67,51,91,47,42,91,91,81,74,98,24,27,58,26,47,18,14,20,83,28,74,22,80,81,80,19
23,70,71,20,38,50,85,71,95,47,73,98,42,37,20,0,95,12,60,23,81,19,17,41,66,86,54,30,28,39,12,77,98,63,67,31,45,65,64,49,47,90,27
65,38,55,82,41,38,71,14,26,89,65,83,83,37,35,95,0,22,45,47,29,98,24,60,50,28,80,78,73,28,94,99,89,50,98,54,46,45,68,86,71,49,72
95,13,32,75,77,51,97,46,62,10,96,62,14,27,67,12,22,0,57,79,43,66,19,17,37,69,24,18,18,36,21,19,84,39,97,90,42,77,28,97,67,81,49
10,82,55,20,78,77,84,91,29,66,90,90,61,97,51,60,45,57,0,17,37,25,42,10,90,92,61,52,16,37,54,78,34,90,86,79,27,95,91,60,95,70,15
55,92,55,69,13,68,89,11,16,29,16,41,91,80,91,23,47,79,17,0,63,96,30,33,53,96,56,29,84,10,22,83,36,85,65,92,70,66,97,15,84,93,26
30,88,99,94,27,93,71,68,94,48,31,13,42,88,47,81,29,43,37,63,0,91,52,16,37,72,53,23,69,85,14,61,88,90,31,50,34,93,25,21,34,81,32
93,90,76,91,94,72,76,59,35,51,43,88,11,37,42,19,98,66,25,96,91,0,10,34,95,31,51,34,28,24,82,14,51,34,25,25,87,79,30,92,94,56,78
40,73,34,44,29,25,94,48,59,46,40,18,44,19,91,17,24,19,42,30,52,10,0,18,24,81,38,46,35,34,45,39,80,16,21,22,91,71,36,58,60,41,12
68,72,94,87,98,28,96,60,29,60,78,58,87,67,91,41,60,17,10,33,16,34,18,0,84,55,51,20,97,32,92,71,72,79,27,56,53,74,41,62,35,95,42
47,19,42,25,45,80,48,71,52,24,73,55,24,36,81,66,50,37,90,53,37,95,24,84,0,30,45,39,62,65,58,12,98,89,39,35,49,12,93,24,14,29,56
63,85,31,67,94,68,67,28,26,89,89,63,79,83,74,86,28,69,92,96,72,31,81,55,30,0,21,27,22,64,73,78,34,73,89,69,93,45,68,81,18,92,91
86,40,20,90,60,59,92,74,95,57,17,56,42,44,98,54,80,24,61,56,53,51,38,51,45,21,0,93,45,94,94,66,26,28,28,36,70,33,45,85,93,83,20
39,63,72,42,44,10,13,26,68,67,19,19,59,23,24,30,78,18,52,29,23,34,46,20,39,27,93,0,51,86,22,99,70,74,26,57,47,78,22,65,67,31,48
20,44,31,14,13,67,13,21,69,55,30,56,79,88,27,28,73,18,16,84,69,28,35,97,62,22,45,51,0,77,72,76,25,84,73,45,21,72,39,30,96,15,11
81,31,48,85,23,81,20,32,77,41,43,73,76,59,58,39,28,36,37,10,85,24,34,32,65,64,94,86,77,0,18,18,14,57,95,76,34,34,62,27,54,12,80
86,13,14,55,89,22,83,17,78,99,20,34,86,26,26,12,94,21,54,22,14,82,45,92,58,73,94,22,72,18,0,59,86,76,88,77,62,58,88,98,68,13,89
36,60,93,68,90,12,57,85,94,77,90,98,88,14,47,77,99,19,78,83,61,14,39,71,12,78,66,99,76,18,59,0,88,32,24,42,12,74,87,27,27,16,25
38,78,90,93,87,31,75,84,41,84,44,96,17,77,18,98,89,84,34,36,88,51,80,72,98,34,26,70,25,14,86,88,0,98,30,82,47,66,46,65,58,90,98
60,91,97,26,95,75,30,44,21,25,50,86,27,40,14,63,50,39,90,85,90,34,16,79,89,73,28,74,84,57,76,32,98,0,28,58,79,32,70,72,89,37,89
36,22,33,57,47,53,92,78,44,60,50,39,42,86,20,67,98,97,86,65,31,25,21,27,39,89,28,26,73,95,88,24,30,28,0,48,29,78,33,82,41,95,13
53,86,47,16,77,20,79,28,59,68,29,93,17,10,83,31,54,90,79,92,50,25,22,56,35,69,36,57,45,76,77,42,82,58,48,0,99,81,62,68,18,17,18
19,84,75,56,79,77,85,48,64,67,53,76,85,78,28,45,46,42,27,70,34,87,91,53,49,93,70,47,21,34,62,12,47,79,29,99,0,15,31,84,25,12,79
87,19,54,94,79,30,46,72,31,97,18,56,23,30,74,65,45,77,95,66,93,79,71,74,12,45,33,78,72,34,58,74,66,32,78,81,15,0,22,80,66,16,56
97,68,94,94,68,26,27,98,43,66,73,89,62,96,22,64,68,28,91,97,25,30,36,41,93,68,45,22,39,62,88,87,46,70,33,62,31,22,0,89,50,70,41
39,50,11,98,56,96,81,59,26,13,84,51,17,72,80,49,86,97,60,15,21,92,58,62,24,81,85,65,30,27,98,27,65,72,82,68,84,80,89,0,23,16,59
45,31,68,13,67,32,69,32,41,35,98,76,43,91,81,47,71,67,95,84,34,94,60,35,14,18,93,67,96,54,68,27,58,89,41,18,25,66,50,23,0,59,72
74,25,50,14,91,22,59,81,60,68,23,98,41,61,80,90,49,81,70,93,81,56,41,95,29,92,83,31,15,12,13,16,90,37,95,17,12,16,70,16,59,0,92
53,74,95,58,90,80,40,59,28,58,42,32,57,62,19,27,72,49,15,26,32,78,12,42,56,91,20,48,11,80,89,25,98,89,13,18,79,56,41,59,72,92,0
